paper,year,survey,method_or_table,band_um,flux_mjy,source_n_galaxies,flux_correction,integral_N_gt_S_per_deg2,integral_err_per_deg2,differential_value,differential_err,differential_unit,notes,source_url,bin_min_mjy,bin_max_mjy,err1_pct,err2_pct,err3_pct,err4_pct,err_total_pct_quadrature
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,14.1,,,2477.0,49.8,39.141,4.271,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,16.1,,,2170.8,46.6,68.561,5.694,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,18.4,,,1733.0,41.6,60.637,5.402,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,21.1,,,1416.9,37.6,62.982,5.679,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,24.2,,,1149.1,33.9,100.851,7.559,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,27.7,,,799.0,28.3,83.822,7.324,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,31.7,,,561.5,23.7,68.737,7.128,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,36.3,,,402.6,20.1,73.134,7.932,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,41.6,,,264.5,16.3,66.986,8.245,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,47.6,,,161.4,12.7,40.223,7.002,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,54.5,,,110.8,10.5,50.050,8.584,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,62.4,,,59.5,7.7,39.262,8.371,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,71.4,,,26.6,5.2,28.183,7.817,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,81.8,,,6.9,2.6,22.131,7.911,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,93.7,,,0.28,1.1,15.849,7.827,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,11.1,,,4435.1,66.6,58.123,7.101,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,13.6,,,3479.6,59.0,70.231,9.067,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,16.6,,,2624.0,51.2,93.182,12.131,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,20.2,,,1782.6,42.2,106.549,15.068,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,24.7,,,1069.6,32.7,66.132,13.789,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,30.1,,,741.6,27.2,65.953,15.996,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,36.8,,,499.1,22.3,88.990,21.583,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,44.9,,,256.7,16.0,63.568,21.189,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,54.9,,,128.3,11.3,38.120,19.060,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,67.0,,,71.3,8.4,25.718,18.185,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,81.8,,,42.8,6.5,34.700,24.537,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,99.9,,,14.3,3.8,23.410,23.410,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,38,594,1,176,4,13000,550,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,41,669,1,134,3,11000,400,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,46,458,1,88,3,9400,450,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,50,256,1,56,2,6600,400,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,55,158,1,39,2,5000,400,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,61,195,1,28,1,4200,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,71,92,1,14.0,1,2800,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,82,43,1,7.6,1,2000,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,91,16,1,4.6,0.5,900,250,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,125,27,1,3.5,0.5,700,150,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,175,8,1,1.6,0.3,500,200,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,250,8,1,1.0,0.3,600,200,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,350,700,7,1,0.5,0.2,800,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Oliver et al.,2010,HerMES,Table 2,350,23.8,,,,,1.1e+08,63218905,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,20,29,49,18,7,23,57.4717
Oliver et al.,2010,HerMES,Table 2,350,37.5,,,,,35000000,13721607,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,29,51,34,14,4,13,39.2046
Oliver et al.,2010,HerMES,Table 2,350,58.9,,,,,5300000,3096760.6,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,51,69,44,17,10,33,58.4294
Oliver et al.,2010,HerMES,Table 2,350,85.9,,,,,1100000,630464.11,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,69,111,56,6,7,8,57.3149
Oliver et al.,2010,HerMES,Table 2,350,166.2,,,,,62000,19791.503,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,111,289,25,5,15,12,31.9218
Oliver et al.,2010,HerMES,Table 2,350,374.1,,,,,4700,7085.9417,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,289,511,129,12,43,64,150.765
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,10.8,,,2123.5,46.1,12.366,2.579,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,12.6,,,1961.2,44.3,17.140,3.030,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,14.7,,,1782.6,42.2,40.434,4.465,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,17.2,,,1447.8,38.1,43.016,4.560,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,20.0,,,1164.9,34.1,57.264,5.317,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,23.3,,,865.8,29.4,47.266,4.982,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,27.2,,,669.7,25.9,65.235,6.164,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,31.7,,,454.7,21.3,68.823,6.716,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,37.0,,,274.5,16.6,59.433,6.773,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,43.1,,,150.9,12.3,40.791,6.149,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,50.3,,,83.6,9.1,25.925,5.406,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,58.6,,,49.5,7.0,20.996,5.421,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,68.3,,,27.7,5.3,17.626,5.574,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,79.7,,,13.1,3.6,13.276,5.420,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,92.9,,,4.3,2.1,8.317,4.802,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,11.0,,,3025.9,55.0,39.402,6.154,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,13.1,,,2440.7,49.4,45.126,7.521,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,15.6,,,1926.9,43.9,55.588,9.533,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,18.7,,,1441.6,38.0,76.770,12.795,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,22.3,,,927.8,30.5,63.974,13.339,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,26.6,,,599.5,24.5,54.419,14.051,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,31.7,,,385.4,19.6,56.784,16.392,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,37.9,,,214.1,14.6,49.376,17.457,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
