paper,year,survey,method_or_table,band_um,flux_log10_jy,flux_jy,flux_mjy,euclidean_log10_best,euclidean_log10_lower,euclidean_log10_upper,euclidean_best_jy15_deg2,euclidean_lower_jy15_deg2,euclidean_upper_jy15_deg2,unit,notes,source_url
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-1.70,1.995262e-02,19.952623,0.809,0.616,0.807,6.441677e+00,4.130475e+00,6.412112e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-1.35,4.466836e-02,44.668359,0.311,0.311,0.311,2.046968e+00,2.046968e+00,2.046968e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-1.00,1.000000e-01,100.000000,-0.668,-0.668,-0.668,2.148484e-01,2.148484e-01,2.148484e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-0.699,1.998180e-01,199.818036,-0.864,-0.864,-0.864,1.368312e-01,1.368312e-01,1.368312e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,-0.347,4.498433e-01,449.843267,-0.906,-0.906,-0.906,1.241999e-01,1.241999e-01,1.241999e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,0.000,1.000000e+00,1000.000000,-0.950,-0.950,-0.950,1.122018e-01,1.122018e-01,1.122018e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-4.82,1.513561e-05,0.015136,-1.98,-6.90,-1.50,1.047129e-02,1.258925e-07,3.162278e-02, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-4.50,3.162278e-05,0.031623,0.110,-3.24,0.256,1.288250e+00,5.754399e-04,1.802986e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-4.00,1.000000e-04,0.100000,0.330,-0.882,0.552,2.138020e+00,1.311134e-01,3.565020e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-3.50,3.162278e-04,0.316228,0.260,-0.266,0.185,1.819701e+00,5.421113e-01,1.531514e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-3.00,1.000000e-03,1.000000,0.0500,-0.152,0.0976,1.122018e+00,7.046008e-01,1.252148e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-2.70,1.995262e-03,1.995262,0.0250,0.0408,0.268,1.059254e+00,1.098499e+00,1.853532e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-2.30,5.011872e-03,5.011872,0.440,0.384,0.543,2.754229e+00,2.421029e+00,3.492765e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-2.00,1.000000e-02,10.000000,0.470,0.480,0.564,2.951209e+00,3.019952e+00,3.663773e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-1.70,1.995262e-02,19.952623,0.209,0.0396,0.254,1.618622e+00,1.095469e+00,1.794278e+00, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-1.35,4.466836e-02,44.668359,-0.353,-0.353,-0.353,4.435000e-01,4.435000e-01,4.435000e-01, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-1.00,1.000000e-01,100.000000,-1.36,-1.36,-1.36,4.365158e-02,4.365158e-02,4.365158e-02, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-0.699,1.998180e-01,199.818036,-1.50,-1.50,-1.50,3.162278e-02,3.162278e-02,3.162278e-02, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,-0.347,4.498433e-01,449.843267,-1.50,-1.50,-1.50,3.162278e-02,3.162278e-02,3.162278e-02, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,500,0.000,1.000000e+00,1000.000000,-1.50,-1.50,-1.50,3.162278e-02,3.162278e-02,3.162278e-02, Jy^1.5 deg^-2,Euclidean-normalised differential counts S^2.5 dN/dS in log10 units,https://arxiv.org/abs/2504.08076
