paper,year,survey,method_or_table,band_um,flux_mjy,log10_dnds_deg2_jyminus1,log10_err_plus,log10_err_minus,log10_sys_err,source_url,notes
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,41.8,3.849,0.051,0.050,0.048,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,89.3,2.11,0.10,0.11,0.076,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,191,0.96,0.16,0.19,0.075,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,1000,-2.34,1.82,1.92,0.31,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,500,3.4,6.36,0.13,0.18,0.10,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,500,7.3,5.31,0.19,0.21,0.05,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,500,15.5,4.961,0.074,0.085,0.029,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,500,33.2,3.511,0.094,0.095,0.034,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,500,71,1.85,0.14,0.16,0.063,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,500,500,-0.64,1.25,1.80,0.028,https://arxiv.org/abs/1009.5675,"Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins."
