paper,year,survey,method_or_table,count_type,band_um,flux_mjy,flux_jy,euclidean_best_jy15_deg2,euclidean_err_jy15_deg2,field_scatter_jy15_deg2,n_fields,area_deg2,standard_unit,notes,source_url
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,47.0,0.047,0.6274128133704735,0.0204829203384811,0.012055427546683426,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,57.8,0.0578,0.12236285979572888,0.02239144202945909,0.04331666346030513,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,71.0,0.071,0.12479870009285052,0.017436625487115245,0.01778576209593879,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,87.2,0.0872,0.1276757660167131,0.014869474823436042,0.016258331197676258,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,107.2,0.1072,0.04576632621479418,0.010748823313808062,0.03251666239535252,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,131.7,0.13169999999999998,0.038337480656143605,0.008873881771827841,0.008621678104251707,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,161.8,0.1618,0.04880810894459919,0.010889608506095879,0.01850225211517056,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,198.7,0.1987,0.031741380377592075,0.009917564320303602,0.009814954576223637,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,244.2,0.2442,0.04772689569792633,0.013951975350663136,0.020502032419575707,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 9 area-weighted GAMA9/12/15,resolved/prior,500,300.0,0.3,0.10376675951717736,0.023606336839255084,0.07710598766200544,3,161.55,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
