paper,year,survey,table,method,field,band_um,flux_mjy,s25_dnds_jy15_deg2,s25_dnds_err_jy15_deg2,units,notes
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,47.0,3.692,0.091,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,47.0,3.701,0.094,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,57.8,3.457,0.107,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,57.8,3.450,0.109,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,57.8,3.573,0.110,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,71.0,2.457,0.106,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,71.0,2.337,0.105,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,71.0,2.458,0.108,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,87.2,1.703,0.091,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,87.2,1.845,0.093,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,87.2,2.018,0.095,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,107.2,1.067,0.074,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,107.2,1.065,0.074,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,107.2,1.112,0.076,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,131.7,0.774,0.066,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,131.7,0.872,0.069,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,131.7,0.950,0.072,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,161.8,0.580,0.064,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,161.8,0.707,0.070,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,161.8,0.807,0.074,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,198.7,0.557,0.071,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,198.7,0.687,0.079,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,198.7,0.691,0.078,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,244.2,0.677,0.091,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,244.2,0.639,0.088,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,244.2,0.603,0.084,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA9,250,300.0,1.522,0.157,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA12,250,300.0,1.452,0.156,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 5,inversion-corrected differential counts,GAMA15,250,300.0,2.284,0.190,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,25.4,4.438,0.045,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,25.4,4.187,0.045,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,25.4,4.076,0.047,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,31.2,4.495,0.070,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,31.2,4.333,0.062,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,31.2,4.534,0.056,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,38.3,4.209,0.092,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,38.3,4.179,0.072,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,38.3,4.463,0.066,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,47.0,2.722,0.084,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,47.0,2.738,0.067,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,47.0,2.757,0.070,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,57.8,1.277,0.063,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,57.8,1.193,0.061,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,57.8,1.366,0.072,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,71.0,0.797,0.065,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,71.0,0.817,0.065,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,71.0,0.798,0.072,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,87.2,0.471,0.054,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,87.2,0.513,0.056,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,87.2,0.542,0.056,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,107.2,0.355,0.043,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,107.2,0.286,0.041,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,107.2,0.350,0.044,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,131.7,0.175,0.033,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,131.7,0.175,0.032,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,131.7,0.242,0.038,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,161.8,0.190,0.037,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,161.8,0.116,0.029,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,161.8,0.254,0.042,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,198.7,0.085,0.028,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,198.7,0.149,0.037,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,198.7,0.222,0.045,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,244.2,0.230,0.053,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,244.2,0.157,0.044,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,244.2,0.189,0.047,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA9,350,300.0,0.380,0.080,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA12,350,300.0,0.461,0.087,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 8,inversion-corrected differential counts,GAMA15,350,300.0,0.614,0.100,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,25.4,1.611,0.043,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,25.4,1.599,0.042,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,25.4,1.665,0.038,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,31.2,1.412,0.046,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,31.2,1.506,0.063,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,31.2,1.737,0.088,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,38.3,1.142,0.063,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,38.3,1.253,0.080,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,38.3,1.459,0.077,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,47.0,0.626,0.028,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,47.0,0.616,0.029,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,47.0,0.640,0.046,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,57.8,0.160,0.035,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,57.8,0.075,0.042,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,57.8,0.132,0.039,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,71.0,0.117,0.027,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,71.0,0.112,0.029,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,71.0,0.145,0.034,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,87.2,0.142,0.025,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,87.2,0.110,0.024,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,87.2,0.131,0.028,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,107.2,0.009,0.014,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,107.2,0.071,0.021,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,107.2,0.057,0.020,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,131.7,0.046,0.016,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,131.7,0.029,0.014,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,131.7,0.040,0.016,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,161.8,0.037,0.017,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,161.8,0.039,0.017,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,161.8,0.070,0.022,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,198.7,0.026,0.016,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,198.7,0.026,0.015,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,198.7,0.043,0.020,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,244.2,0.060,0.027,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,244.2,0.024,0.017,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,244.2,0.059,0.027,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA9,500,300.0,0.016,0.016,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA12,500,300.0,0.132,0.046,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
Valiante et al.,2016,H-ATLAS DR1,Table 9,inversion-corrected differential counts,GAMA15,500,300.0,0.162,0.051,Jy^1.5 deg^-2,"Published corrected number counts; uncertainties do not include correlation between flux bins."
