paper,year,survey,method_or_table,band_um,flux_mjy,flux_jy,euclidean_best_jy15_deg2,euclidean_err_jy15_deg2,log10_euclidean_best_jy15_deg2,source_n_galaxies,flux_correction,source_differential_value,source_differential_err,source_differential_unit,standard_unit,notes,source_url
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,9.1,0.0091,5.427545598722759,0.7367365151794116,0.7346034808027337,,,5.837,0.058951251046945555,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,10.0,0.01,8.146172,1.5943666080340662,0.911,,,0.911,0.08499999999999996,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,10.7,0.0107,2.5697550249959176,0.34032854156429043,0.4098917239680796,,,26.677,3.533,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,11.1,0.0111,5.598900600436245,0.6840285801437946,0.7481027573565241,,,58.123,7.101,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,12.3,0.0123,3.094552617535474,0.37250225593804454,0.4905978715210065,,,32.125,3.867,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,13.6,0.0136,6.765245910727903,0.8734103839126582,0.8302835874423107,,,70.231,9.067,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,14.1,0.0141,3.7703932763566073,0.41141896434222597,0.5763866522863165,,,39.141,4.271,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,16.1,0.0161,6.604377338859135,0.5484944001322021,0.8198318785675482,,,68.561,5.694,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,16.6,0.0166,8.97608099633278,1.1685608654730844,0.953086762818244,,,93.182,12.131,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,18.4,0.0184,5.841070414614741,0.5203664821767046,0.7664924417292165,,,60.637,5.402,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,19.5,0.0195,9.017507836501386,0.8058435739573064,0.9550865284062954,,,5.23,0.03881043674065006,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,19.952623,0.01995262,8.279423,1.5251260782713632,0.918,,,0.918,0.08,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,20.2,0.0202,10.263703870685985,1.4514776292925924,1.0113041132438905,,,106.549,15.068,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,21.1,0.0211,6.066960714634062,0.5470494728399676,0.782971182767868,,,62.982,5.679,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Oliver et al.,2010,HerMES,Table 2,250,23.8,0.0238,5.323866093160368,2.1827850981957506,0.7262271234869166,,,200000000.0,82000000.0,sr^-1 Jy^-1,Jy^1.5 deg^-2,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table. Raw dN/dS converted from sr^-1 Jy^-1 to deg^-2 Jy^-1, then multiplied by S^2.5.",https://arxiv.org/pdf/1005.2184
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,24.2,0.0242,9.714824156609186,0.7281470268000202,0.9874349440500109,,,100.851,7.559,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,24.7,0.0247,6.3703954460032985,1.328273495508067,0.8041663922547511,,,66.132,13.789,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,25.4,0.0254,9.347234107087589,0.0487096603148289,0.9706831199918583,,,9.347234107087589,0.0487096603148289,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,27.7,0.0277,8.074446365978476,0.7055098325550135,0.9071127541061266,,,83.822,7.324,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,30.1,0.030100000000000002,6.353152646982634,1.540870464438831,0.802989290239372,,,65.953,15.996,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,31.2,0.0312,7.749018446301454,0.0419589252123074,0.889246694718944,,,7.749018446301454,0.0419589252123074,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,31.7,0.0317,6.621331152421351,0.6866294492698167,0.8209453087804003,,,68.737,7.128,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Clements et al.,2010,H-ATLAS,Table 1,250,34.0,0.034,7.006200655094297,0.24369393582936685,0.8454825711992484,898.0,1.1,23000.0,800.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,36.3,0.0363,7.0448875060183465,0.764077552133584,0.8478740626113732,,,73.134,7.932,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,36.8,0.0368,8.572271982396323,2.0790577165530935,0.933095941952153,,,88.99,21.583,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Oliver et al.,2010,HerMES,Table 2,250,37.5,0.0375,5.309001872093681,1.5838274774835965,0.7250128784848398,,,64000000.0,19093035.0,sr^-1 Jy^-1,Jy^1.5 deg^-2,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table. Raw dN/dS converted from sr^-1 Jy^-1 to deg^-2 Jy^-1, then multiplied by S^2.5.",https://arxiv.org/pdf/1005.2184
Clements et al.,2010,H-ATLAS,Table 1,250,38.0,0.038,6.549274525414234,0.1523087098933543,0.8161931950972608,1702.0,1.0,21500.0,500.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,38.3,0.0382999999999999,5.567942432683379,0.0435015851588524,0.7456947364270046,,,5.567942432683379,0.0435015851588524,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,41.6,0.0416,6.452659973174515,0.7942283682982095,0.80973878029932,,,66.986,8.245,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,41.8,0.0418,3.8809737424406254,0.4051986113237752,0.5889407044375874,,,4.036,0.045343136195018535,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Clements et al.,2010,H-ATLAS,Table 1,250,42.0,0.042,5.635422266054109,0.18277045187202515,0.7509264635846693,1093.0,1.0,18500.0,600.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,44.668359,0.04466836,3.873282,0.7134849115329732,0.588,,,0.588,0.08,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,44.9,0.044899999999999995,6.123409207517356,2.041104293010402,0.7869932828929432,,,63.568,21.189,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Clements et al.,2010,H-ATLAS,Table 1,250,47.0,0.047,4.873878716587337,0.18277045187202515,0.6878747178375804,710.0,1.0,16000.0,600.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,47.0,0.047,3.65865886722377,0.052768370934205,0.5633219178252419,,,3.65865886722377,0.052768370934205,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,47.6,0.0476,3.874620698369786,0.6744920600150471,0.5882291941538965,,,40.223,7.002,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Clements et al.,2010,H-ATLAS,Table 1,250,52.0,0.052,4.26464387701392,0.18277045187202515,0.6298827708598935,506.0,1.0,14000.0,600.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,54.5,0.0545,4.821240731755657,0.8268837251027085,0.683158816996993,,,50.05,8.584,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,54.9,0.0549,3.6720418919985147,1.8360209459992574,0.5649076271479444,,,38.12,19.06,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Clements et al.,2010,H-ATLAS,Table 1,250,56.0,0.056,3.655409037440503,0.19800132286136057,0.5629359812292803,345.0,1.0,12000.0,650.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,57.8,0.0578,3.4938557103064065,0.0627567244022644,0.5433049654689892,,,3.4938557103064065,0.0627567244022644,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Oliver et al.,2010,HerMES,Table 2,250,58.9,0.0589,3.0776853565829874,1.299206145740771,0.48822421819703443,,,12000000.0,5065649.0,sr^-1 Jy^-1,Jy^1.5 deg^-2,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table. Raw dN/dS converted from sr^-1 Jy^-1 to deg^-2 Jy^-1, then multiplied by S^2.5.",https://arxiv.org/pdf/1005.2184
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,62.4,0.0624,3.782049023180632,0.8063657575529791,0.5777271539005726,,,39.262,8.371,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Clements et al.,2010,H-ATLAS,Table 1,250,63.0,0.063,2.9243272299524024,0.1523087098933543,0.46602596822122394,418.0,1.0,9600.0,500.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,67.0,0.067,2.4773760067790604,1.7517335206189135,0.39399192716570186,,,25.718,18.185,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,71.0,0.071,2.417553141442278,0.0614108112709525,0.38337602930374004,,,2.417553141442278,0.0614108112709525,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,71.4,0.0714,2.7148257251362575,0.752999776226453,0.4337419558250831,,,28.183,7.817,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
