paper,year,survey,method_or_table,band_um,flux_mjy,source_n_galaxies,flux_correction,integral_N_gt_S_per_deg2,integral_err_per_deg2,differential_value,differential_err,differential_unit,notes,source_url,bin_min_mjy,bin_max_mjy,err1_pct,err2_pct,err3_pct,err4_pct,err_total_pct_quadrature
Clements et al.,2010,H-ATLAS,Table 1,250,34.0,898.0,1.1,436.0,6.0,23000.0,800.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,23.3,,,865.8,29.4,47.266,4.982,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,27.2,,,669.7,25.9,65.235,6.164,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,31.7,,,454.7,21.3,68.823,6.716,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,37.0,,,274.5,16.6,59.433,6.773,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,43.1,,,150.9,12.3,40.791,6.149,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,50.3,,,83.6,9.1,25.925,5.406,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,58.6,,,49.5,7.0,20.996,5.421,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,68.3,,,27.7,5.3,17.626,5.574,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,79.7,,,13.1,3.6,13.276,5.42,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,92.9,,,4.3,2.1,8.317,4.802,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,11.0,,,3025.9,55.0,39.402,6.154,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,13.1,,,2440.7,49.4,45.126,7.521,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,15.6,,,1926.9,43.9,55.588,9.533,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,18.7,,,1441.6,38.0,76.77,12.795,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,22.3,,,927.8,30.5,63.974,13.339,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,26.6,,,599.5,24.5,54.419,14.051,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,31.7,,,385.4,19.6,56.784,16.392,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,37.9,,,214.1,14.6,49.376,17.457,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,45.2,,,99.9,10.0,40.252,18.001,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,54.0,,,28.5,5.3,21.0,14.85,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,48.0,50.0,0.84,17.8,1.0,1900.0,300.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,52.0,76.0,0.83,14.4,1.0,1300.0,150.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,56.0,43.0,0.82,9.1,0.8,1100.0,200.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,60.0,19.0,0.82,6.11,0.7,760.0,200.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,63.0,16.0,0.84,4.79,0.6,580.0,150.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,70.0,26.0,0.89,3.68,0.5,580.0,100.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,82.0,13.0,1.0,1.88,0.4,370.0,100.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
